956  [main] DEBUG com.zaxxer.hikari.HikariConfig - connectionTimeout................................30000
956  [main] DEBUG com.zaxxer.hikari.HikariConfig - dataSource................................none
956  [main] DEBUG com.zaxxer.hikari.HikariConfig - dataSourceClassName................................none
956  [main] DEBUG com.zaxxer.hikari.HikariConfig - dataSourceJNDI................................none
956  [main] DEBUG com.zaxxer.hikari.HikariConfig - dataSourceProperties................................{password=<masked>}
956  [main] DEBUG com.zaxxer.hikari.HikariConfig - driverClassName................................"org.h2.Driver"
956  [main] DEBUG com.zaxxer.hikari.HikariConfig - exceptionOverrideClassName................................none
956  [main] DEBUG com.zaxxer.hikari.HikariConfig - healthCheckProperties................................{}
956  [main] DEBUG com.zaxxer.hikari.HikariConfig - healthCheckRegistry................................none
956  [main] DEBUG com.zaxxer.hikari.HikariConfig - idleTimeout................................600000
956  [main] DEBUG com.zaxxer.hikari.HikariConfig - initializationFailTimeout................................1
956  [main] DEBUG com.zaxxer.hikari.HikariConfig - isolateInternalQueries................................false
956  [main] DEBUG com.zaxxer.hikari.HikariConfig - jdbcUrl................................jdbc:h2:file:./src/main/java/com/example/usercrud/Database/Database
956  [main] DEBUG com.zaxxer.hikari.HikariConfig - keepaliveTime................................0
957  [main] DEBUG com.zaxxer.hikari.HikariConfig - leakDetectionThreshold................................0
957  [main] DEBUG com.zaxxer.hikari.HikariConfig - maxLifetime................................1800000
957  [main] DEBUG com.zaxxer.hikari.HikariConfig - maximumPoolSize................................10
957  [main] DEBUG com.zaxxer.hikari.HikariConfig - metricRegistry................................none
957  [main] DEBUG com.zaxxer.hikari.HikariConfig - metricsTrackerFactory................................none
957  [main] DEBUG com.zaxxer.hikari.HikariConfig - minimumIdle................................10
957  [main] DEBUG com.zaxxer.hikari.HikariConfig - password................................<masked>
957  [main] DEBUG com.zaxxer.hikari.HikariConfig - poolName................................"HikariPool-1"
957  [main] DEBUG com.zaxxer.hikari.HikariConfig - readOnly................................false
957  [main] DEBUG com.zaxxer.hikari.HikariConfig - registerMbeans................................false
957  [main] DEBUG com.zaxxer.hikari.HikariConfig - scheduledExecutor................................none
957  [main] DEBUG com.zaxxer.hikari.HikariConfig - schema................................none
957  [main] DEBUG com.zaxxer.hikari.HikariConfig - threadFactory................................internal
957  [main] DEBUG com.zaxxer.hikari.HikariConfig - transactionIsolation................................default
957  [main] DEBUG com.zaxxer.hikari.HikariConfig - username................................"admin"
957  [main] DEBUG com.zaxxer.hikari.HikariConfig - validationTimeout................................5000
957  [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
1003 [main] DEBUG com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:file:./src/main/java/com/example/usercrud/Database/Database user=ADMIN
1004 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
1007 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:file:./src/main/java/com/example/usercrud/Database/Database'
1008 [main] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'requestContextFilter'
1009 [main] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'formContentFilter'
